# L1420 - 20 wind (Up to date)
# 586 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (92.3 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-2.32e-4,-0.046,-4.637,2.03e-5,NaN
0.02,0.002,0.499,49.897,2.182e-4,NaN
0.03,0.013,1.543,104.451,0.001,NaN
0.04,0.036,3.129,158.564,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.076,4.945,181.703,0.007,NaN
0.06,0.135,6.806,186.09,0.012,NaN
0.07,0.213,8.71,190.48,0.019,NaN
0.08,0.31,10.659,194.871,0.027,NaN
0.09,0.426,12.651,199.265,0.037,NaN
0.1,0.563,14.687,203.661,0.049,NaN
0.11,0.72,16.767,208.058,0.063,NaN
0.12,0.898,18.891,212.457,0.079,NaN
0.13,1.098,21.05,215.953,0.096,NaN
0.14,1.319,23.211,216.156,0.115,NaN
0.15,1.562,25.372,216.059,0.137,NaN
0.16,1.827,27.531,215.959,0.16,NaN
0.17,2.113,29.689,215.858,0.185,NaN
0.18,2.421,31.846,215.756,0.212,NaN
0.19,2.75,34.002,215.652,0.241,NaN
0.2,3.101,36.157,215.546,0.271,NaN
0.21,3.473,38.311,215.439,0.304,NaN
0.22,3.867,40.464,215.331,0.338,NaN
0.23,4.282,42.616,215.221,0.375,NaN
0.24,4.719,44.767,215.11,0.413,NaN
0.25,5.178,46.916,214.998,0.453,NaN
0.26,5.658,49.065,214.885,0.495,NaN
0.27,6.159,51.212,214.771,0.539,NaN
0.28,6.682,53.358,214.655,0.585,NaN
0.29,7.226,55.503,214.538,0.632,NaN
0.3,7.792,57.647,214.42,0.682,NaN
0.31,8.379,59.79,214.302,0.733,NaN
0.32,8.988,61.931,214.182,0.786,NaN
0.33,9.618,64.072,214.062,0.841,NaN
0.34,10.269,66.211,213.941,0.898,NaN
0.35,10.942,68.349,213.818,0.957,NaN
0.36,11.636,70.485,213.696,1.018,NaN
# Event LAUNCHROD occurred at t=0.37 seconds
0.37,12.352,72.621,213.573,1.081,NaN
0.385,13.465,75.829,213.922,1.177,0.483
0.408,15.225,80.636,213.702,1.328,0.597
0.441,18.068,87.835,213.376,1.567,0.749
0.491,22.726,98.474,212.929,1.948,0.866
0.541,27.915,109.107,212.767,2.361,1.126
0.591,33.638,119.794,213.844,2.808,1.309
0.641,39.896,130.536,214.924,3.293,1.474
0.691,46.693,141.33,215.906,3.82,1.693
0.741,54.03,152.17,216.771,4.394,1.956
0.791,61.911,163.051,217.568,5.025,2.127
0.841,70.336,173.968,218.17,5.722,2.365
0.891,79.308,184.91,218.585,6.495,2.604
0.941,88.828,195.869,218.844,7.358,2.782
0.991,98.896,206.836,218.855,8.325,2.981
1.041,109.512,217.805,218.775,9.409,3.235
1.091,120.677,228.776,218.599,10.629,3.528
1.141,132.39,239.734,218.337,12.002,3.33
1.191,144.65,250.672,217.726,13.547,3.104
1.241,157.457,261.578,217.185,15.282,2.97
1.291,170.809,272.461,216.793,17.223,2.879
1.334,182.642,281.752,217.125,19.055,2.889
1.374,194.14,290.514,217.854,20.931,2.944
1.414,205.958,299.288,218.938,22.949,3.02
1.455,218.499,308.377,220.407,25.184,3.115
1.5,232.375,318.209,222.445,27.757,3.254
1.55,248.564,329.36,223.703,30.871,3.45
1.6,265.31,340.506,223.56,34.197,3.603
1.65,282.614,351.653,223.7,37.72,3.662
1.7,300.475,362.803,223.621,41.427,3.504
1.75,318.894,373.934,222.94,45.301,3.436
1.796,336.468,384.21,221.663,49.032,3.442
1.839,353.156,393.658,219.953,52.602,3.501
