# L1420 - 20 wind (Up to date)
# 794 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (92.7 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-2.32e-4,-0.046,-4.637,2.03e-5,NaN
0.02,0.002,0.499,49.897,2.182e-4,NaN
0.03,0.013,1.543,104.451,0.001,NaN
0.04,0.036,3.129,158.564,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.076,4.945,181.703,0.007,NaN
0.06,0.135,6.806,186.09,0.012,NaN
0.07,0.213,8.71,190.48,0.019,NaN
0.08,0.31,10.659,194.871,0.027,NaN
0.09,0.426,12.651,199.265,0.037,NaN
0.1,0.563,14.687,203.661,0.049,NaN
0.11,0.72,16.767,208.058,0.063,NaN
0.12,0.898,18.891,212.457,0.079,NaN
0.13,1.098,21.05,215.953,0.096,NaN
0.14,1.319,23.211,216.156,0.115,NaN
0.15,1.562,25.372,216.058,0.137,NaN
0.16,1.827,27.531,215.959,0.16,NaN
0.17,2.113,29.689,215.858,0.185,NaN
0.18,2.421,31.846,215.755,0.212,NaN
0.19,2.75,34.002,215.651,0.241,NaN
0.2,3.101,36.157,215.546,0.271,NaN
0.21,3.473,38.311,215.439,0.304,NaN
0.22,3.867,40.464,215.331,0.338,NaN
0.23,4.282,42.616,215.221,0.375,NaN
0.24,4.719,44.767,215.11,0.413,NaN
0.25,5.178,46.916,214.998,0.453,NaN
0.26,5.658,49.065,214.885,0.495,NaN
0.27,6.159,51.212,214.771,0.539,NaN
0.28,6.682,53.358,214.656,0.585,NaN
0.29,7.226,55.503,214.539,0.632,NaN
0.3,7.792,57.647,214.422,0.682,NaN
0.31,8.379,59.79,214.303,0.733,NaN
0.32,8.988,61.932,214.184,0.786,NaN
0.33,9.618,64.072,214.064,0.841,NaN
0.34,10.269,66.211,213.942,0.898,NaN
0.35,10.942,68.349,213.82,0.957,NaN
0.36,11.636,70.485,213.698,1.018,NaN
# Event LAUNCHROD occurred at t=0.37 seconds
0.37,12.352,72.621,213.574,1.081,NaN
0.385,13.465,75.829,213.922,1.177,0.482
0.408,15.225,80.636,213.721,1.328,0.572
0.441,18.068,87.836,213.441,1.566,0.658
0.491,22.726,98.479,212.984,1.945,0.789
0.541,27.916,109.117,212.914,2.353,0.894
0.591,33.639,119.812,214,2.789,1.054
0.641,39.898,130.56,215.027,3.257,1.293
0.691,46.696,141.358,215.974,3.76,1.562
0.741,54.035,152.201,216.836,4.309,1.818
0.791,61.917,163.087,217.68,4.911,1.922
0.841,70.345,174.011,218.338,5.575,2.082
0.891,79.319,184.96,218.676,6.31,2.363
0.941,88.841,195.916,218.582,7.134,2.805
0.991,98.911,206.857,218.097,8.064,3.343
1.041,109.527,217.784,217.945,9.122,3.541
1.091,120.69,228.713,217.705,10.324,3.283
1.141,132.399,239.624,217.373,11.69,3.118
1.191,144.653,250.519,217.036,13.236,3.008
1.241,157.451,261.398,216.772,14.977,2.928
1.291,170.793,272.269,216.728,16.928,2.877
1.334,182.766,281.676,217.27,18.792,2.894
1.375,194.433,290.576,218.208,20.706,2.953
1.416,206.458,299.519,219.47,22.771,3.028
1.458,219.182,308.757,221.148,25.049,3.126
1.503,233.453,318.9,223.712,27.704,3.338
1.553,249.678,330.1,224.626,30.828,3.477
1.603,266.463,341.314,225.262,34.154,3.637
1.653,283.809,352.539,225.078,37.664,3.508
1.703,301.716,363.748,224.563,41.344,3.413
1.752,319.504,374.508,223.333,45.039,3.42
1.796,336.456,384.421,221.729,48.591,3.463
1.842,354.313,394.514,219.816,52.36,3.522
