Time	Actual	Regression Fit
0.2	6	4.313990222
0.25	5	5.104829031
0.3	4	6.384212448
0.35	6	8.149981101
0.4	10	10.39997562
0.45	10	13.13203662
0.5	15	16.34400475
0.55	20	20.03372062
0.6	24	24.19902487
0.65	29	28.83775812
0.7	35	33.94776101
0.75	38	39.52687415
0.8	42	45.57293817
0.85	49	52.08379372
0.9	56	59.0572814
0.95	64	66.49124185
1	73	74.38351571
1.05	82	82.73194359
1.1	93	91.53436612
1.15	104	100.7886239
1.2	115	110.4925577
1.25	129	120.6440079
1.3	141	131.2408153
1.35	154	142.2808206
1.4	167	153.7618642
1.45	177	165.6817869
1.5	188	178.0384293
1.55	197	190.8296319
1.6	209	204.0532355
1.65	218	217.7070807
1.7	230	231.7890081
1.75	242	246.2968582
1.8	254	261.2284719
1.85	267	276.5816895
1.9	283	292.3543519
1.95	298	308.5442997
2	313	325.1493733
2.05	333	342.1674136
2.1	352	359.5962611
2.15	372	377.4337564
2.2	391	395.6777401
2.25	411	414.326053
2.3	432	433.3765356
2.35	450	452.8270286
2.4	471	472.6753725
2.45	490	492.919408
2.5	510	513.5569758
2.55	533	534.5859164
2.6	553	556.0040705
2.65	577	577.8092788
2.7	600	599.9993818
2.75	625	622.5722201
2.8	650	645.5256345
2.85	673	668.8574655
2.9	697	692.5655538
2.95	722	716.6477399
3	744	741.1018645
3.05	769	765.9257683
3.1	794	791.1172919
3.15	821	816.6742759
3.2	847	842.5945609
3.25	874	868.8759875
3.3	901	895.5163964
3.35	937	922.5136283
3.4	971	949.8655236
3.45	984	977.5699232
3.5	1003	1005.624667
3.55	1021	1034.027597
3.6	1028	1062.776553
3.65	1036	995.4457869
3.7	1043	1022.142795
3.75	1055	1048.714624
3.8	1075	1075.161491
3.85	1098	1101.483616
3.9	1123	1127.681216
3.95	1151	1153.75451
4	1180	1179.703715
4.05	1203	1205.52905
4.1	1228	1231.230734
4.15	1253	1256.808983
4.2	1277	1282.264018
4.25	1302	1307.596055
4.3	1328	1332.805314
4.35	1352	1357.892011
4.4	1380	1382.856367
4.45	1406	1407.698598
4.5	1429	1432.418923
4.55	1454	1457.01756
4.6	1477	1481.494727
4.65	1502	1505.850644
4.7	1526	1530.085527
4.75	1551	1554.199595
4.8	1575	1578.193066
4.85	1597	1602.066159
4.9	1621	1625.819092
4.95	1644	1649.452082
5	1667	1672.965349
