# Simulation 4 (Up to date)
# 479 data points written for 3 variables.
#
# Time (s),Altitude (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.002,NaN
0.02,0.014,NaN
0.03,0.048,NaN
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.11,NaN
0.05,0.2,NaN
0.06,0.322,NaN
0.07,0.477,NaN
0.08,0.664,NaN
0.09,0.885,NaN
0.1,1.139,NaN
0.11,1.425,NaN
0.12,1.743,NaN
0.13,2.092,NaN
0.14,2.473,NaN
0.15,2.886,NaN
0.16,3.33,NaN
0.17,3.805,NaN
0.18,4.311,NaN
0.19,4.848,NaN
0.2,5.416,NaN
0.21,6.015,NaN
0.22,6.645,NaN
0.23,7.307,NaN
0.24,7.999,NaN
0.25,8.723,NaN
0.26,9.478,NaN
# Event LAUNCHROD occurred at t=0.27 seconds
0.27,10.264,NaN
0.285,11.502,3.978
0.308,13.493,4.064
0.341,16.783,4.206
0.376,20.541,4.344
0.411,24.722,4.49
0.449,29.792,4.666
0.499,37.129,4.974
0.549,45.292,4.788
0.586,51.907,4.71
0.61,56.294,4.691
0.629,60.151,4.697
0.648,63.826,4.716
0.665,67.495,4.746
0.683,71.311,4.79
0.703,75.512,4.849
0.725,80.57,4.931
0.757,87.936,5.063
0.804,99.521,4.994
0.831,106.499,4.932
0.849,111.084,4.916
0.864,115.137,4.924
0.879,119.149,4.944
0.895,123.364,4.976
0.912,128.136,5.019
0.933,134.043,5.083
0.964,143.098,5.187
1.011,157.059,5.086
1.032,163.186,5.055
1.048,168.194,5.051
1.064,172.973,5.059
1.08,177.855,5.078
1.098,183.321,5.112
1.121,190.471,5.17
1.156,201.195,5.183
1.206,216.542,5.101
# Event BURNOUT occurred at t=1.207 seconds
1.208,217.307,5.087
1.212,218.453,5.082
1.217,220.172,5.077
1.226,222.747,5.072
1.239,226.602,5.071
1.255,231.628,5.086
1.274,237.23,5.124
1.3,245.151,5.195
1.339,256.969,5.136
1.367,265.302,5.081
1.385,270.76,5.068
1.402,275.833,5.073
1.42,281.1,5.097
1.442,287.446,5.141
1.474,296.924,5.212
1.522,311.047,5.108
1.545,317.58,5.079
1.565,323.24,5.076
1.584,328.84,5.089
1.606,335.051,5.12
1.635,343.355,5.182
1.678,355.737,5.16
1.722,368.138,5.091
1.744,374.329,5.075
1.765,380.1,5.082
1.787,386.197,5.106
1.814,393.695,5.159
1.854,404.88,5.18
1.904,418.568,5.097
1.929,425.207,5.075
1.951,431.242,5.083
1.975,437.662,5.119
2.008,446.649,5.188
2.058,459.988,5.157
2.108,473.213,5.096
2.135,480.217,5.099
2.164,487.804,5.123
2.202,497.588,5.173
2.252,510.492,5.161
2.302,523.285,5.111
2.335,531.726,5.107
2.369,540.277,5.129
2.413,551.282,5.183
2.463,563.723,5.171
2.513,576.056,5.111
2.549,584.918,5.109
