Time	Actual	Regression Fit
0.2	3	2.174700855
0.25	3	3.551623932
0.3	5	5.513608324
0.35	8	8.04602277
0.4	11	11.13423601
0.45	14	14.76361677
0.5	19	18.9195338
0.55	24	23.58735583
0.6	29	28.75245161
0.65	35	34.40018986
0.7	41	40.51593933
0.75	49	47.08506875
0.8	54	54.09294686
0.85	61	61.5249424
0.9	68	69.36642411
0.95	76	77.60276072
1	85	86.21932097
1.05	96	95.2014736
1.1	105	104.5345873
1.15	115	114.2040309
1.2	124	124.1951731
1.25	134	134.4933827
1.3	146	145.0840282
1.35	158	155.9524786
1.4	165	165.1642566
1.45	175	175.1385344
1.5	185	185.0232175
1.55	195	194.8183681
1.6	205	204.5240482
1.65	215	214.1403198
1.7	224	223.6672452
1.75	232	233.1048863
1.8	242	242.4533052
1.85	251	251.712564
1.9	261	260.8827248
1.95	270	269.9638497
2	278	278.9560007
2.05	288	287.8592399
2.1	297	296.6736294
2.15	306	305.3992313
2.2	314	314.0361077
2.25	323	322.5843205
2.3	331	331.043932
2.35	339	339.4150041
2.4	349	347.697599
2.45	356	355.8917787
2.5	364	363.9976054
2.55	372	372.015141
2.6	379	379.9444478
2.65	388	387.7855876
2.7	395	395.5386227
2.75	404	403.2036151
2.8	412	410.7806269
2.85	419	418.2697201
2.9	426	425.6709569
2.95	434	432.9843993
3	440	440.2101093
3.05	448	447.3481492
3.1	455	454.3985809
3.15	460	461.3614665
3.2	468	468.2368681
3.25	475	475.0248478
3.3	481	481.7254677
3.35	487	488.3387898
3.4	495	494.8648762
3.45	501	501.303789
3.5	507	507.6555903
3.55	513	513.9203421
3.6	519	520.0981066
3.65	525	526.1889457
3.7	532	532.1929217
3.75	537	538.1100965
3.8	544	543.9405322
3.85	549	549.6842909
3.9	555	555.3414348
3.95	561	560.9120258
4	566	566.3961261
4.05	572	571.7937976
4.1	577	577.1051026
4.15	583	582.3301031
4.2	588	587.4688611
4.25	593	592.5214388
4.3	598	597.4878982
4.35	602	602.3683013
4.4	607	607.1627104
4.45	613	611.8711874
4.5	618	616.4937944
4.55	622	621.0305935
4.6	626	625.4816468
4.65	630	629.8470164
4.7	634	634.1267643
4.75	639	638.3209526
4.8	642	642.4296434
4.85	647	646.4528988
4.9	651	650.3907808
4.95	654	654.2433515
5	658	658.0106731
5.05	662	661.6928075
5.1	666	665.2898169
5.15	669	668.8017634
5.2	673	672.2287089
5.25	676	675.5707156
5.3	679	678.8278456
5.35	682	682.000161
5.4	685	685.0877238
5.45	688	688.0905961
5.5	691	691.0088399
5.55	693	693.8425175
5.6	696	696.5916907
5.65	699	699.2564218
5.7	702	701.8367728
5.75	704	704.3328057
