# Wind Included (Up to date)
# 389 data points written for 3 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (65.7 ft/s)
#
# Time (s),Altitude (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,0.002,NaN
0.02,0.014,NaN
0.03,0.048,NaN
# Event LIFTOFF occurred at t=0.04 seconds
0.04,0.109,NaN
0.05,0.2,NaN
0.06,0.322,NaN
0.07,0.476,NaN
0.08,0.664,NaN
0.09,0.885,NaN
0.1,1.138,NaN
0.11,1.424,NaN
0.12,1.742,NaN
0.13,2.092,NaN
0.14,2.473,NaN
0.15,2.885,NaN
0.16,3.329,NaN
0.17,3.804,NaN
0.18,4.31,NaN
0.19,4.824,NaN
# Event LAUNCHROD occurred at t=0.199 seconds
0.199,5.337,NaN
0.212,6.154,2.285
0.233,7.487,2.432
0.254,9.032,2.582
0.274,10.581,2.72
0.293,12.154,2.853
0.311,13.774,2.984
0.328,15.463,3.117
0.346,17.253,3.255
0.364,19.188,3.404
0.383,21.337,3.569
0.404,23.828,3.76
0.428,26.954,3.999
0.463,31.702,4.356
0.513,39.253,4.397
0.54,43.752,4.201
0.557,46.582,4.113
0.57,48.955,4.058
0.582,51.084,4.022
0.593,53.061,3.998
0.603,54.934,3.985
0.612,56.737,3.979
0.622,58.492,3.979
0.63,60.217,3.986
0.639,61.926,3.999
0.647,63.634,4.017
0.656,65.353,4.04
0.664,67.101,4.069
0.673,68.901,4.104
0.682,70.781,4.146
0.691,72.779,4.196
0.701,74.954,4.257
0.712,77.403,4.331
0.725,80.322,4.427
0.742,84.236,4.565
0.768,90.265,4.714
0.806,99.652,4.479
0.819,102.723,4.42
0.829,105.301,4.388
0.838,107.628,4.367
0.846,109.806,4.356
0.854,111.894,4.351
0.862,113.93,4.353
0.87,115.946,4.361
0.877,117.967,4.374
0.885,120.027,4.394
0.893,122.162,4.419
0.901,124.421,4.452
0.91,126.878,4.494
0.92,129.656,4.549
0.932,133.021,4.622
0.949,137.75,4.735
0.974,144.959,4.748
1.002,153.21,4.61
1.013,156.449,4.569
1.022,159.22,4.546
1.031,161.756,4.532
1.039,164.166,4.526
1.046,166.514,4.527
1.054,168.846,4.533
1.062,171.21,4.546
1.07,173.656,4.564
1.079,176.259,4.59
1.088,179.126,4.626
1.099,182.466,4.675
1.113,186.792,4.749
1.134,193.285,4.846
1.166,203.011,4.691
1.18,207.201,4.637
1.191,210.518,4.61
1.201,213.484,4.594
# Event BURNOUT occurred at t=1.207 seconds
1.207,215.316,4.588
1.216,218.06,4.586
1.225,220.794,4.591
1.234,223.593,4.604
1.244,226.549,4.625
1.255,229.806,4.657
1.268,233.633,4.703
1.285,238.751,4.778
1.311,246.4,4.817
1.349,257.814,4.677
1.363,261.825,4.639
1.375,265.323,4.624
1.386,268.611,4.619
1.397,271.848,4.624
1.408,275.16,4.638
