# L1420R-P - 0 wind speed (Up to date)
# 693 data points written for 6 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (76.6 ft/s)
#
# Time (s),Altitude (ft),Vertical velocity (ft/s),Vertical acceleration (ft/s²),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.915e-4,-0.038,-3.827,1.675e-5,NaN
0.02,0.003,0.523,52.334,2.289e-4,NaN
0.03,0.013,1.608,108.515,0.001,NaN
0.04,0.038,3.25,164.243,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.079,5.131,188.075,0.007,NaN
0.06,0.14,7.056,192.596,0.012,NaN
0.07,0.221,9.027,197.12,0.019,NaN
0.08,0.321,11.043,201.647,0.028,NaN
0.09,0.442,13.104,206.176,0.039,NaN
0.1,0.583,15.211,210.709,0.051,NaN
0.11,0.746,17.363,215.244,0.065,NaN
0.12,0.931,19.56,219.783,0.081,NaN
0.13,1.138,21.794,223.392,0.1,NaN
0.14,1.367,24.029,223.611,0.12,NaN
0.15,1.618,26.264,223.521,0.142,NaN
0.16,1.892,28.498,223.43,0.166,NaN
0.17,2.188,30.731,223.338,0.191,NaN
0.18,2.507,32.963,223.245,0.219,NaN
0.19,2.848,35.194,223.151,0.249,NaN
0.2,3.211,37.424,223.057,0.281,NaN
0.21,3.596,39.653,222.962,0.315,NaN
0.22,4.004,41.881,222.865,0.35,NaN
0.23,4.434,44.108,222.767,0.388,NaN
0.24,4.886,46.335,222.669,0.427,NaN
0.25,5.36,48.56,222.569,0.469,NaN
0.26,5.857,50.784,222.469,0.512,NaN
0.27,6.376,53.007,222.367,0.558,NaN
0.28,6.917,55.23,222.265,0.605,NaN
0.29,7.481,57.451,222.162,0.654,NaN
0.3,8.066,59.671,222.058,0.706,NaN
0.31,8.674,61.89,221.952,0.759,NaN
0.32,9.304,64.108,221.846,0.814,NaN
0.33,9.956,66.325,221.74,0.871,NaN
# Event LAUNCHROD occurred at t=0.34 seconds
0.34,10.63,68.541,221.632,0.93,NaN
0.355,11.683,71.859,221.277,1.022,3.218
0.378,13.356,76.832,221.101,1.17,3.219
0.411,16.075,84.281,220.829,1.413,3.221
0.461,20.564,95.293,220.402,1.819,3.226
0.511,25.603,106.276,219.825,2.28,3.234
0.561,31.193,117.29,220.45,2.796,3.245
0.611,37.334,128.367,221.694,3.367,3.257
0.661,44.031,139.505,222.916,3.993,3.272
0.711,51.286,150.704,224.117,4.675,3.289
0.761,59.102,161.963,225.294,5.415,3.307
0.811,67.483,173.28,226.446,6.211,3.328
0.861,76.432,184.654,227.572,7.066,3.351
0.911,85.95,196.084,228.67,7.98,3.376
0.961,96.041,207.568,229.74,8.955,3.402
1.011,106.708,219.106,230.811,9.992,3.429
1.061,117.954,230.716,232.258,11.093,3.457
1.111,129.782,242.406,233.818,12.259,3.467
1.161,142.196,254.172,235.355,13.493,3.47
1.211,155.201,266.015,236.872,14.797,3.476
1.261,168.8,277.934,238.374,16.172,3.485
1.311,182.996,289.928,239.864,17.621,3.497
1.361,197.794,301.996,241.346,19.143,3.514
1.411,213.198,314.138,242.823,20.741,3.535
1.461,229.21,326.354,244.294,22.415,3.56
1.511,245.835,338.639,245.666,24.165,3.587
1.561,263.073,350.888,244.945,25.991,3.615
1.611,280.922,363.056,243.314,27.89,3.623
1.661,299.377,375.142,241.644,29.862,3.631
1.711,318.434,387.143,239.925,31.905,3.643
1.761,338.089,399.057,238.15,34.018,3.661
1.811,358.337,410.881,236.318,36.201,3.683
1.861,379.175,422.611,234.431,38.455,3.708
1.911,400.596,434.245,232.499,40.78,3.733
1.961,422.597,445.783,230.538,43.178,3.741
2.011,445.172,457.22,228.527,45.648,3.753
2.061,468.315,468.506,225.494,48.193,3.769
2.111,492.019,479.616,221.983,50.811,3.789
2.161,516.273,490.55,218.476,53.502,3.814
2.211,541.069,501.309,214.956,56.263,3.832
2.261,566.399,511.891,211.401,59.091,3.842
2.311,592.254,522.294,207.794,61.986,3.857
2.361,618.624,532.514,204.125,64.946,3.877
2.411,645.501,542.55,200.402,67.97,3.9
2.461,672.875,552.398,196.649,71.058,3.917
2.511,700.737,562.066,193.024,74.212,3.928
2.561,729.078,571.584,190.037,77.431,3.944
2.611,757.892,580.956,187.143,80.716,3.964
2.661,787.17,590.184,184.261,84.063,3.987
2.711,816.907,599.268,181.361,87.473,3.998
2.761,847.094,608.206,178.415,90.942,4.013
2.811,877.724,616.994,175.411,94.47,4.033
2.861,908.79,625.631,172.365,98.056,4.055
2.911,940.284,634.115,169.311,101.701,4.068
2.961,972.192,642.202,161.376,105.405,4.083
3.011,1004.476,649.156,138.733,109.163,4.099
3.061,1037.027,652.893,74.585,112.963,4.111
3.111,1069.673,652.944,1.073,116.782,4.114
3.161,1102.262,650.638,-45.949,120.604,4.114
3.211,1134.72,647.653,-59.492,124.418,4.115
# Event BURNOUT occurred at t=3.24 seconds
3.24,1153.311,645.633,-70.124,126.607,4.117
3.283,1181.085,642.446,-73.659,129.882,4.112
3.333,1213.115,638.777,-73.126,133.669,4.109
3.383,1244.963,635.134,-72.576,137.444,4.108
3.433,1276.629,631.519,-72.018,141.207,4.109
3.483,1308.115,627.932,-71.471,144.958,4.104
3.533,1339.423,624.372,-70.951,148.697,4.102
3.583,1370.553,620.837,-70.46,152.423,4.101
3.633,1401.507,617.325,-69.989,156.137,4.102
3.683,1432.286,613.838,-69.522,159.839,4.098
3.733,1462.891,610.373,-69.045,163.531,4.095
3.783,1493.323,606.933,-68.559,167.211,4.095
3.833,1523.585,603.517,-68.071,170.881,4.095
3.883,1553.676,600.126,-67.592,174.54,4.092
3.933,1583.598,596.758,-67.133,178.187,4.089
3.983,1613.352,593.412,-66.694,181.822,4.089
4.033,1642.939,590.088,-66.27,185.447,4.089
4.083,1672.361,586.785,-65.853,189.061,4.086
4.133,1701.618,583.503,-65.434,192.664,4.084
4.183,1730.712,580.242,-65.009,196.258,4.083
4.233,1759.643,577.002,-64.582,199.841,4.084
4.283,1788.412,573.784,-64.159,203.414,4.081
4.333,1817.021,570.586,-63.748,206.977,4.079
4.383,1845.471,567.409,-63.353,210.53,4.078
4.433,1873.763,564.251,-62.971,214.072,4.078
4.483,1901.897,561.111,-62.598,217.604,4.077
4.533,1929.874,557.991,-62.227,221.126,4.075
4.583,1957.696,554.889,-61.853,224.639,4.073
4.633,1985.363,551.805,-61.477,228.143,4.073
4.683,2012.877,548.741,-61.103,231.637,4.073
4.733,2040.238,545.695,-60.733,235.122,4.071
4.783,2067.447,542.667,-60.373,238.597,4.069
4.833,2094.505,539.658,-60.024,242.063,4.068
4.883,2121.413,536.665,-59.685,245.52,4.068
4.933,2148.171,533.689,-59.353,248.967,4.068
4.983,2174.782,530.729,-59.023,252.405,4.066
5.033,2201.245,527.787,-58.693,255.835,4.064
5.083,2227.561,524.86,-58.362,259.256,4.064
5.133,2253.731,521.95,-58.032,262.669,4.064
5.183,2279.756,519.057,-57.706,266.072,4.062
5.233,2305.637,516.18,-57.387,269.468,4.061
5.283,2331.374,513.318,-57.075,272.854,4.06
5.333,2356.969,510.472,-56.772,276.232,4.059
5.383,2382.422,507.641,-56.474,279.602,4.059
5.433,2407.733,504.825,-56.18,282.963,4.058
5.483,2432.904,502.023,-55.888,286.316,4.056
5.533,2457.936,499.236,-55.597,289.661,4.055
5.583,2482.828,496.463,-55.307,292.998,4.055
5.633,2507.582,493.705,-55.018,296.328,4.055
5.683,2532.199,490.961,-54.733,299.649,4.053
5.733,2556.679,488.232,-54.453,302.963,4.052
5.783,2581.022,485.516,-54.179,306.269,4.051
5.833,2605.231,482.814,-53.911,309.566,4.051
5.883,2629.304,480.125,-53.648,312.857,4.05
5.933,2653.243,477.449,-53.388,316.139,4.05
5.983,2677.049,474.786,-53.131,319.414,4.048
6.033,2700.722,472.136,-52.874,322.682,4.047
6.083,2724.263,469.498,-52.619,325.943,4.047
6.133,2747.672,466.874,-52.365,329.196,4.046
