# L1420 - 20 wind (Up to date)
# 764 data points written for 4 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (94.8 ft/s)
#
# Time (s),Altitude (ft),Lateral distance (ft),Stability margin calibers (​)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.01,-1.446e-4,1.265e-5,NaN
0.02,0.003,2.412e-4,NaN
0.03,0.014,0.001,NaN
0.04,0.039,0.003,NaN
# Event LIFTOFF occurred at t=0.05 seconds
0.05,0.083,0.007,NaN
0.06,0.146,0.013,NaN
0.07,0.23,0.02,NaN
0.08,0.335,0.029,NaN
0.09,0.46,0.04,NaN
0.1,0.607,0.053,NaN
0.11,0.777,0.068,NaN
0.12,0.969,0.085,NaN
0.13,1.183,0.104,NaN
0.14,1.422,0.124,NaN
0.15,1.683,0.147,NaN
0.16,1.967,0.172,NaN
0.17,2.275,0.199,NaN
0.18,2.606,0.228,NaN
0.19,2.96,0.259,NaN
0.2,3.337,0.292,NaN
0.21,3.737,0.327,NaN
0.22,4.161,0.364,NaN
0.23,4.607,0.403,NaN
0.24,5.077,0.444,NaN
0.25,5.57,0.487,NaN
0.26,6.086,0.532,NaN
0.27,6.625,0.58,NaN
0.28,7.187,0.629,NaN
0.29,7.772,0.68,NaN
0.3,8.38,0.733,NaN
0.31,9.011,0.788,NaN
0.32,9.665,0.846,NaN
# Event LAUNCHROD occurred at t=0.33 seconds
0.33,10.342,0.905,NaN
0.345,11.401,0.997,0.605
0.368,13.086,1.14,0.702
0.401,15.832,1.367,0.848
0.451,20.382,1.729,1.114
0.501,25.503,2.122,1.243
0.551,31.196,2.548,1.477
0.601,37.463,3.01,1.706
0.651,44.306,3.515,1.886
0.701,51.727,4.07,2.133
0.751,59.73,4.686,2.316
0.801,68.315,5.377,2.629
0.851,77.483,6.161,3.025
0.901,87.234,7.058,3.291
0.951,97.566,8.091,3.708
1.001,108.478,9.282,3.372
1.051,119.966,10.656,3.243
1.101,132.027,12.235,3.105
1.142,142.275,13.686,3.025
1.177,151.266,15.039,3.067
1.211,160.438,16.493,3.125
1.245,169.978,18.08,3.148
1.278,179.382,19.714,3.249
1.314,189.849,21.604,3.37
1.356,202.358,23.952,3.518
1.406,217.933,26.986,3.805
1.456,234.104,30.237,3.819
1.506,250.882,33.689,3.657
1.556,268.27,37.327,3.661
1.603,285.272,40.931,3.709
1.653,303.842,44.913,3.747
1.703,323.013,49.072,3.868
1.753,342.777,53.414,3.976
1.803,363.128,57.948,3.983
1.853,384.055,62.685,3.904
1.903,405.552,67.632,3.925
1.953,427.612,72.792,3.973
2.003,450.23,78.161,4.062
2.053,473.404,83.729,4.111
2.103,497.126,89.484,4.054
2.153,521.391,95.416,4.093
2.203,546.188,101.522,4.136
2.253,571.508,107.802,4.17
2.303,597.339,114.263,4.214
2.353,623.671,120.898,4.222
2.403,650.496,127.706,4.254
2.453,677.802,134.684,4.245
2.503,705.58,141.829,4.263
2.553,733.822,149.139,4.279
2.603,762.516,156.621,4.294
2.653,791.653,164.276,4.303
2.703,821.225,172.104,4.319
2.753,851.225,180.102,4.363
2.803,881.646,188.26,4.343
2.853,912.486,196.563,4.377
2.903,943.735,205.01,4.44
2.953,975.38,213.604,4.438
3.003,1007.389,222.333,4.469
3.053,1039.665,231.17,4.473
3.103,1072.043,240.061,4.488
3.153,1104.36,248.961,4.429
3.197,1132.602,256.765,4.449
# Event BURNOUT occurred at t=3.24 seconds
3.24,1160.057,264.371,4.472
3.29,1191.891,273.208,4.475
3.34,1223.52,282.002,4.457
3.39,1254.949,290.75,4.449
3.44,1286.178,299.453,4.477
3.49,1317.208,308.118,4.435
3.54,1348.039,316.751,4.475
3.59,1378.674,325.347,4.455
3.64,1409.115,333.903,4.471
3.69,1439.364,342.422,4.46
3.74,1469.423,350.902,4.438
3.79,1499.295,359.342,4.435
3.84,1528.979,367.741,4.435
3.89,1558.479,376.1,4.445
3.94,1587.792,384.426,4.41
3.99,1616.919,392.725,4.409
4.04,1645.861,400.997,4.442
4.09,1674.622,409.237,4.453
4.14,1703.203,417.442,4.429
4.19,1731.607,425.61,4.419
4.24,1759.836,433.74,4.42
4.29,1787.89,441.833,4.436
4.34,1815.771,449.892,4.427
4.39,1843.478,457.92,4.43
4.44,1871.014,465.915,4.442
4.49,1898.379,473.879,4.392
4.54,1925.573,481.817,4.416
4.59,1952.597,489.728,4.411
4.64,1979.452,497.611,4.421
4.69,2006.142,505.465,4.356
4.74,2032.67,513.279,4.383
4.79,2059.037,521.057,4.418
4.84,2085.241,528.808,4.383
4.89,2111.282,536.535,4.384
4.94,2137.16,544.239,4.422
4.99,2162.879,551.917,4.415
5.04,2188.44,559.567,4.397
5.09,2213.844,567.186,4.352
5.14,2239.096,574.769,4.36
5.19,2264.196,582.318,4.381
5.24,2289.143,589.835,4.396
5.29,2313.935,597.328,4.37
5.34,2338.574,604.801,4.346
5.39,2363.058,612.255,4.387
5.44,2387.391,619.687,4.417
5.49,2411.574,627.092,4.372
5.54,2435.61,634.467,4.344
5.59,2459.502,641.808,4.366
5.64,2483.248,649.119,4.394
5.69,2506.848,656.408,4.316
5.74,2530.298,663.681,4.311
5.79,2553.601,670.94,4.327
5.84,2576.758,678.183,4.397
5.89,2599.771,685.403,4.333
5.94,2622.646,692.592,4.281
5.99,2645.384,699.747,4.308
6.04,2667.986,706.869,4.334
6.09,2690.451,713.962,4.361
6.14,2712.778,721.028,4.389
6.19,2734.969,728.07,4.363
6.24,2757.02,735.094,4.298
6.29,2778.931,742.104,4.281
6.34,2800.703,749.102,4.36
6.39,2822.338,756.081,4.367
6.44,2843.839,763.036,4.392
6.49,2865.208,769.967,4.348
6.54,2886.445,776.873,4.349
6.59,2907.55,783.753,4.395
6.64,2928.525,790.612,4.357
6.69,2949.368,797.452,4.362
6.74,2970.08,804.269,4.358
6.79,2990.665,811.062,4.35
6.84,3011.121,817.831,4.384
6.89,3031.449,824.58,4.308
6.94,3051.646,831.315,4.274
6.99,3071.712,838.039,4.279
7.04,3091.648,844.751,4.307
7.09,3111.455,851.449,4.375
7.14,3131.138,858.127,4.312
7.19,3150.698,864.78,4.284
7.24,3170.137,871.407,4.249
7.29,3189.456,878.005,4.202
7.34,3208.658,884.573,4.272
7.39,3227.74,891.115,4.339
7.44,3246.701,897.635,4.331
7.49,3265.539,904.141,4.235
7.54,3284.251,910.638,4.106
7.575,3297.425,915.239,4.1
7.611,3310.544,919.844,4.141
7.653,3326.157,925.352,4.197
7.703,3344.456,931.841,4.312
7.753,3362.635,938.318,4.305
7.803,3380.698,944.774,4.17
7.853,3398.484,951.142,4.073
7.888,3410.959,955.611,4.058
7.922,3423.052,959.945,4.059
7.956,3435.307,964.338,4.087
7.995,3449.005,969.253,4.183
8.045,3466.535,975.554,4.284
8.095,3483.952,981.835,4.262
8.145,3501.251,988.106,4.099
8.186,3515.154,993.179,3.968
8.214,3524.955,996.775,3.95
8.242,3534.443,1000.274,4.001
8.274,3545.309,1004.301,4.089
8.317,3559.743,1009.678,4.237
8.367,3576.504,1015.954,4.338
8.417,3593.153,1022.213,4.189
8.467,3609.695,1028.448,4.073
8.509,3623.372,1033.61,4.019
8.544,3635.092,1038.037,3.976
8.577,3645.587,1042.002,4.014
8.613,3657.432,1046.48,4.108
8.663,3673.567,1052.592,4.3
8.713,3689.594,1058.686,4.222
8.763,3705.508,1064.773,4.066
8.806,3719.151,1070.028,4.039
8.847,3732.096,1075.045,4.051
8.891,3745.719,1080.359,4.14
8.941,3761.221,1086.444,4.259
8.991,3776.613,1092.52,4.268
9.041,3791.896,1098.586,4.362
9.091,3807.072,1104.639,4.272
9.141,3822.142,1110.676,4.229
9.191,3837.11,1116.693,4.192
9.241,3851.975,1122.691,4.216
9.291,3866.737,1128.67,4.278
9.341,3881.396,1134.633,4.279
9.391,3895.951,1140.581,4.301
9.441,3910.404,1146.514,4.341
9.491,3924.753,1152.434,4.31
9.541,3938.999,1158.34,4.353
9.591,3953.141,1164.235,4.299
9.641,3967.18,1170.119,4.313
9.691,3981.115,1175.994,4.363
9.741,3994.948,1181.856,4.344
9.791,4008.678,1187.707,4.327
9.841,4022.306,1193.548,4.332
9.891,4035.832,1199.377,4.338
9.941,4049.256,1205.196,4.334
9.991,4062.578,1211.005,4.358
10.041,4075.8,1216.802,4.254
10.091,4088.923,1222.584,4.228
10.141,4101.948,1228.352,4.359
10.191,4114.873,1234.107,4.358
10.241,4127.699,1239.852,4.321
10.291,4140.425,1245.587,4.28
10.341,4153.05,1251.313,4.26
10.391,4165.574,1257.032,4.183
10.441,4177.997,1262.744,4.168
10.491,4190.319,1268.452,4.281
10.541,4202.542,1274.152,4.294
10.591,4214.666,1279.843,4.267
10.641,4226.691,1285.526,4.333
10.691,4238.619,1291.2,4.249
10.741,4250.452,1296.862,4.166
10.791,4262.191,1302.508,4.085
10.841,4273.837,1308.138,4.065
10.891,4285.392,1313.751,4.04
10.941,4296.855,1319.345,4.061
10.991,4308.227,1324.923,4.185
11.041,4319.506,1330.487,4.328
11.091,4330.69,1336.04,4.253
11.141,4341.778,1341.587,4.162
11.191,4352.768,1347.129,4.089
11.241,4363.659,1352.668,4.104
11.291,4374.452,1358.203,4.12
11.341,4385.148,1363.735,4.124
11.391,4395.747,1369.262,4.204
11.441,4406.25,1374.784,4.229
11.491,4416.657,1380.3,4.241
11.541,4426.97,1385.809,4.254
11.591,4437.189,1391.311,4.312
11.641,4447.314,1396.806,4.324
11.691,4457.347,1402.292,4.184
11.741,4467.29,1407.767,4.096
11.791,4477.144,1413.228,4.056
11.841,4486.91,1418.676,4.121
11.891,4496.587,1424.112,4.12
11.941,4506.175,1429.535,4.074
11.991,4515.674,1434.946,4.103
12.041,4525.086,1440.344,4.01
12.091,4534.411,1445.729,3.964
12.141,4543.649,1451.098,4.018
12.191,4552.801,1456.454,4.259
12.241,4561.863,1461.8,4.31
12.291,4570.835,1467.139,4.231
12.341,4579.714,1472.472,4.202
12.391,4588.502,1477.799,4.076
12.441,4597.196,1483.123,3.964
12.491,4605.795,1488.446,3.92
12.541,4614.299,1493.768,3.911
12.591,4622.708,1499.088,3.99
12.641,4631.023,1504.407,4.023
12.691,4639.245,1509.723,4.118
12.741,4647.375,1515.035,4.174
12.791,4655.415,1520.341,4.297
12.841,4663.366,1525.642,4.287
12.891,4671.228,1530.935,4.144
12.941,4679.005,1536.218,4.176
12.991,4686.695,1541.492,4.074
13.041,4694.3,1546.756,4.053
13.091,4701.82,1552.01,4.012
13.141,4709.256,1557.252,3.996
13.191,4716.608,1562.484,3.971
13.241,4723.876,1567.705,3.943
13.291,4731.061,1572.915,4.098
13.341,4738.162,1578.115,4.005
13.391,4745.179,1583.305,3.956
13.441,4752.112,1588.484,4.054
13.491,4758.962,1593.653,4.117
13.541,4765.728,1598.814,4.179
13.591,4772.408,1603.966,4.317
13.641,4779.002,1609.112,4.32
13.691,4785.51,1614.252,4.274
13.741,4791.93,1619.387,4.111
13.791,4798.262,1624.517,4.048
13.841,4804.505,1629.644,3.987
13.891,4810.659,1634.768,3.938
13.941,4816.722,1639.89,3.87
